public_date,port_me,_FREQ_,mom12m_Mean,hxz_abr_Mean,hxz_sue_Mean,hxz_re_Mean,bm_Mean,ep_Mean,cfp_Mean,sp_Mean,agr_Mean,ni_Mean,acc_Mean,op_Mean,roe_Mean,seas1a_Mean,adm_Mean,rdm_Mean,me_Mean,svar_Mean,beta_Mean,mom1m_Mean
08-31-1976,7,392,0.2951408823,-0.000065099,0.0505680066,0.0137221169,0.0012092319,0.000124524,0.0001767893,0.0034035882,0.0920216604,0.0166316998,0.0061068122,-0.021116994,0.0342844131,-0.041831419,0.0000694357,,95643.557604,0.000350946,1.3389444231,0.0057513723
08-31-1976,8,393,0.2930819565,0.0007810986,0.042398444,-0.007422479,0.0010174172,0.0001134351,0.0001715402,0.0025545312,0.1064953356,0.0316960865,0.0059784407,0.0336705952,0.0367204745,-0.035736838,0.0000534616,,251276.76628,0.0002789548,1.2783114958,0.0023698344
08-31-1976,9,393,0.2394987101,0.0007602393,0.0474704569,-0.000539892,0.0007260752,0.0000868048,0.0001413149,0.0015139936,0.113548816,0.0241649478,0.0056157805,0.2753885307,0.0392731087,-0.014967222,0.0000314451,,8714809.2948,0.000154277,1.427953849,-0.004237184
09-30-1976,0,393,0.0521608543,-0.000259932,0.0133176415,,0.0026873972,-0.000121247,0.0000621778,0.0108492475,-0.032449952,-0.004338818,-0.005300793,-0.533704363,-0.008644909,-0.055899756,0.0001551282,,1711.5210762,0.0017684306,0.7221740996,-0.041197963
09-30-1976,1,392,0.2604496221,0.0015938469,0.0753901685,,0.0020721817,5.7483048E-6,0.0001686873,0.0094316453,-0.004204423,-0.00460109,0.0054074499,-0.877826763,0.0139629816,-0.049699708,0.0001288238,,3561.8891605,0.0012344944,1.1234789854,-0.025781745
09-30-1976,2,393,0.317873884,0.0002285316,0.133657423,,0.001948532,0.0000490188,0.000156973,0.0080413986,0.0137530719,0.0008510967,0.0019682601,-0.17015053,0.0196108027,-0.048000639,0.0001181069,,6321.6801417,0.0010107653,0.9737835873,-0.037768231
09-30-1976,3,392,0.3162312573,0.0014725427,0.0621389651,,0.0017443968,0.0001144462,0.0002157245,0.0070185278,0.0891380179,0.001822171,0.0036637712,-0.075758709,0.0286406478,-0.033686359,0.0000934547,,10284.773714,0.0007722505,0.9494357013,-0.024420106
09-30-1976,4,393,0.3554741088,0.0015407503,0.0956248558,,0.0016440238,0.000094146,0.0001655387,0.0063831464,0.0553566092,0.0017947248,0.0045511974,-0.288098179,0.0285154374,-0.037991177,0.0000926491,,16399.661243,0.0006611542,1.179252217,-0.021479425
09-30-1976,5,392,0.3848349467,0.001001912,0.0860477421,,0.0014727886,0.000122289,0.0002009967,0.0053594834,0.0979852548,0.0122614022,0.0062140713,-0.031555041,0.0352020722,-0.02923249,0.0000938342,,27879.539904,0.0005386366,1.3243758795,-0.011267554
09-30-1976,6,392,0.3501122414,0.0010335539,0.0711848773,-0.058775351,0.0013629405,0.0001188474,0.0001842744,0.0040190806,0.0856495499,0.0154146614,0.0066273729,0.0725124169,0.0340741818,-0.036639234,0.0000816282,,49288.386441,0.0004304701,1.2282554054,-0.020161709
09-30-1976,7,393,0.3575735116,0.0001314536,0.0551160937,0.0000979706,0.0011979957,0.0001255653,0.0001799451,0.0034870654,0.1041768427,0.0208405176,0.0061318008,0.194413851,0.0364946692,-0.039984947,0.0000673672,,98371.306731,0.0003447146,1.3263529889,-0.015281513
09-30-1976,8,392,0.3379320371,0.000668612,0.0471622028,-0.00126103,0.0010052559,0.0001163867,0.0001758728,0.002508732,0.1180419936,0.0338492936,0.0061959981,0.1720313179,0.0407662912,-0.039386542,0.0000528184,,257256.15984,0.0002689834,1.3480565634,-0.006931022
09-30-1976,9,393,0.2537673507,0.0010410255,0.0399780396,-0.000138705,0.0007259359,0.0000897617,0.0001432623,0.0015175988,0.1154605447,0.0233634363,0.0054939668,0.3547433712,0.0411430328,-0.031116998,0.0000309019,,8965913.5166,0.000145732,1.4665098454,0.0045128359
10-31-1976,0,392,0.0994153332,-0.002050868,-0.007299249,,0.0027225996,-0.000124816,0.000083091,0.0111909001,-0.020083456,0.0018591597,-0.003093512,-0.728032417,-0.007321932,-0.04019005,0.0001786,,1641.5246994,0.0019752558,0.5766684316,-0.02618362
10-31-1976,1,392,0.3035526797,-0.001293176,0.08872951,,0.0022681653,0.0000491782,0.0002104727,0.0106652898,0.0126617661,-0.006519654,0.0040998636,-0.508010163,0.015970525,-0.012673157,0.0001349906,,3435.448365,0.0012483918,1.013764915,-0.003971293
10-31-1976,2,392,0.3393526537,0.0001530855,0.1122092236,,0.0020652021,0.0000516282,0.0001599252,0.008118511,0.0145522074,0.000206331,0.0036831549,-0.306625152,0.0181612079,-0.014204098,0.0001143562,,6105.1780404,0.0009653966,0.934450862,0.0128301994
