public_date,port_beta,_FREQ_,mom12m_Mean,hxz_abr_Mean,hxz_sue_Mean,hxz_re_Mean,bm_Mean,ep_Mean,cfp_Mean,sp_Mean,agr_Mean,ni_Mean,acc_Mean,op_Mean,roe_Mean,seas1a_Mean,adm_Mean,rdm_Mean,me_Mean,svar_Mean,beta_Mean,mom1m_Mean
03-31-2018,9,318,0.2514076228,-0.004277813,0.0151373632,0.0004495628,0.000508402,0.0000442307,0.0000928923,0.0008709549,0.0690885856,0.0125120082,-0.002318325,0.25148562,0.0131431377,0.015614736,0.0000169297,0.0071220497,80081440.006,0.0003738103,2.6591533109,-0.073405419
04-30-2018,0,318,0.5639706464,0.0092052863,0.149958935,0.0002385853,0.0002109762,-0.00002715,2.0577079E-6,0.0004070541,0.3775958547,0.0887749451,0.0154031216,0.0037331856,-0.021101182,0.0302907454,9.998888E-6,0.0420709486,42190451.339,0.0012198944,-5.068026225,-0.039824715
04-30-2018,1,318,0.3891075997,0.0058917504,0.0487553682,0.0004872936,0.0003369818,0.0000208654,0.0000448876,0.0005949851,0.2734478862,0.0026082993,0.0073727411,0.4800694644,0.0102513949,0.0173561091,0.0000103284,0.0396147442,278392658.33,0.0005509233,-2.44284119,-0.036136571
04-30-2018,2,318,0.2998147827,0.0037800744,0.0260863194,0.0012190568,0.0004391891,0.0000402214,0.0000665362,0.0005247115,0.0868066124,-0.00794887,-0.007959995,0.5829016789,0.090592209,0.0081599215,0.0000120494,0.0358942787,92190292.703,0.0004597076,-1.55890891,-0.024539592
04-30-2018,3,318,0.2452087158,0.000150483,0.0374621643,0.0007396423,0.0004189899,0.0000419278,0.0000716148,0.0005269078,0.1103494847,-0.008925457,0.002507304,0.3307948011,0.0153903516,0.0129823909,8.0211693E-6,0.0224412906,102924440.35,0.0003449937,-0.906985244,-0.030248586
04-30-2018,4,445,0.1805462748,0.0023268779,0.0779228042,0.0005475267,0.0003316014,0.0000388589,0.0000725935,0.0005458845,0.1142844687,-0.002796893,0.0072532507,0.4008109593,0.0535287001,0.0156555422,0.0000120869,0.0265250771,121016361.93,0.000406507,-0.386423654,-0.021590251
04-30-2018,5,317,0.3114324007,-0.00007119,-0.024401994,0.0010005978,0.0002450946,0.0000413805,0.000059919,0.0004646298,0.1320851119,-0.006212449,0.0064453417,0.5848147697,0.0625867039,0.0177811193,5.3267338E-6,0.0219162068,310408729.62,0.0004057776,-0.00532761,-0.02621044
04-30-2018,6,318,0.2199783895,0.0006998092,0.2420645585,0.0009120794,0.0004432423,0.0000476976,0.0000733115,0.0005415409,0.1321977978,0.0096481313,0.0015670144,0.3336896594,0.0633305129,0.0165395848,0.0000138702,0.0140806483,137576301.44,0.0003272337,0.4541000703,-0.005791977
04-30-2018,7,318,0.1620590652,-0.003314105,0.1770877597,0.001076796,0.0004075868,0.0000553031,0.0000912265,0.0005204188,0.1049531124,-0.001845719,0.0048426645,0.3668652567,0.0539902089,0.0148002077,0.0000157654,0.0192014308,98777518.624,0.0003364806,0.9677364151,-0.002566378
04-30-2018,8,318,0.0455233241,-0.003409668,-0.017825148,0.0005647142,0.0003473196,0.00004932,0.0000747025,0.0004703115,0.0806813264,0.0038391118,0.0003151326,0.4485976698,0.0695099164,-0.003402721,0.0000160176,0.0231094071,112549214.43,0.0002834052,1.5531040414,0.0049491308
04-30-2018,9,318,0.1379137973,-0.004277634,0.0782850448,0.000481217,0.0004933764,0.0000428174,0.0000890123,0.0008617297,0.1026933311,0.0114779599,-0.001955959,0.2688633663,0.0081478514,0.0143466336,0.0000163578,0.0061136709,77597302.856,0.0003466862,2.6133786894,0.0348234523
05-31-2018,0,318,0.4703712137,0.0097617917,0.1742535469,0.0000741034,0.0001921362,-0.000024082,2.6588538E-6,0.0004060257,0.3668867992,0.084976216,0.0180636078,0.0141555762,-0.024020083,0.0174839244,0.0000102112,0.0428711084,46730792.032,0.0008968947,-5.127391707,0.0435788928
