public_date,port_me,_FREQ_,rank_mom12m_Mean,rank_hxz_abr_Mean,rank_hxz_sue_Mean,rank_hxz_re_Mean,rank_bm_Mean,rank_ep_Mean,rank_cfp_Mean,rank_sp_Mean,rank_agr_Mean,rank_ni_Mean,rank_acc_Mean,rank_op_Mean,rank_roe_Mean,rank_seas1a_Mean,rank_adm_Mean,rank_rdm_Mean,rank_me_Mean,rank_svar_Mean,rank_beta_Mean,rank_mom1m_Mean
08-31-1976,6,393,0.0785150287,0.0195630637,-0.007809177,-0.003445226,0.0133090194,0.0852029898,0.0143517617,-0.028858524,0.0010267385,-0.009880415,0.0148195274,0.0220688291,0.0142638021,0.0377803973,-0.039220903,0,0.3091108268,-0.13381138,0.0421474757,0.0376251797
08-31-1976,7,392,0.0941924077,-0.016304598,-0.034598466,0.0047968567,-0.07755451,0.0547699625,0.0138784057,-0.13164036,0.0205352689,0.0531373245,-0.001568116,0.0353320937,0.0649912014,0.0671732117,-0.017812992,0,0.5125076239,-0.233365077,0.0455909103,0.0690790165
08-31-1976,8,393,0.0991859465,0.0185478229,-0.074740761,0.0000402488,-0.269661126,-0.042290692,-0.010916943,-0.30552004,0.0929763947,0.1460974093,0.0179158527,0.0751316303,0.1838389817,0.1109250978,-0.050042017,0,0.7178488797,-0.333673692,0.0560377522,0.0508384099
08-31-1976,9,393,0.0561541879,-0.000928067,-0.0347081,0.0255778915,-0.54520546,-0.326700347,-0.159714456,-0.555670704,0.1957670231,0.2650607203,0.0169916778,0.2157318583,0.2820376143,0.3009464318,-0.12228948,0,0.9553033184,-0.620338163,0.1358662166,-0.007215041
09-30-1976,0,393,-0.280736458,-0.010050581,-0.031348578,0,0.1243325689,-0.083198987,-0.030470069,0.1150732134,-0.060040259,-0.081150606,-0.044667848,-0.063993398,-0.131141544,-0.067139042,0.106876163,0,-0.878342021,0.4244228638,-0.094780347,-0.096899637
09-30-1976,1,392,-0.093454311,-0.000769704,0.0189267063,0,0.1409027921,-0.03171564,0.013942119,0.1537528211,-0.071012045,-0.09520026,-0.007902167,-0.059795962,-0.0965189,-0.052836058,0.035276425,0,-0.689209831,0.3129902399,-0.022773188,-0.030147847
09-30-1976,2,393,0.004119494,-0.020929426,0.0640443459,0,0.1819441447,0.0315983381,0.0165667664,0.2065317204,-0.073830005,-0.132607396,-0.014220103,-0.060878872,-0.098873558,-0.044845633,0.0239304981,0,-0.491195142,0.2293540836,-0.066304577,-0.125697187
09-30-1976,3,392,-0.013685391,0.0143462583,0.0218198871,0,0.1452565169,0.1244045363,0.0789325619,0.1734970447,-0.016412937,-0.072867636,-0.012783648,-0.003933771,-0.032970047,0.0337296124,0.0219101218,0,-0.292025752,0.1543858101,-0.064497912,-0.043999041
09-30-1976,4,393,0.0601790962,0.0103576837,0.0716635626,0,0.1296021104,0.063652944,0.0090830395,0.1647953746,-0.047813156,-0.101292515,-0.002908307,-0.050651395,-0.046245162,-0.008212988,0.0363684506,0,-0.091911188,0.0784872047,0.0059342033,-0.014487403
09-30-1976,5,392,0.1223946214,-0.01134582,0.0508047232,0,0.0580937324,0.0736498329,0.0618045387,0.0958327671,0.0025314872,-0.014604974,0.0140693796,-0.010154117,0.0216753895,0.0574353655,-0.021201706,0,0.1095825585,-0.019696481,0.0345133747,0.051891524
09-30-1976,6,392,0.0602483674,0.0192446496,-0.030462793,-0.003595489,0.0118709308,0.0800213468,0.0148341858,-0.029376962,-0.005509037,0.0241597411,0.018414421,0.0076815823,0.001002521,0.0217917586,-0.034397339,0,0.3090979339,-0.127398788,0.0260803374,-0.00572701
09-30-1976,7,393,0.080406208,-0.006055333,-0.047576963,0.0005033301,-0.099711574,0.0263830582,-0.008873303,-0.139639057,0.0272977537,0.0640248087,0.0040502541,0.0506233127,0.0388409631,0.0009218416,-0.029064673,0,0.5122926727,-0.24562686,0.0355892786,0.0399518161
09-30-1976,8,392,0.0809240228,0.0091873791,-0.04290743,0.0025316786,-0.282559684,-0.058964987,-0.020384158,-0.306547692,0.1208580576,0.1570887372,0.029223166,0.0836707867,0.1881026301,0.0178318767,-0.052229635,0,0.7179518287,-0.356264028,0.0706536804,0.1025539912
